daily_closing_price,time
0.435145,2021-07-28 00:00:00.000 UTC
0.449224,2021-07-29 00:00:00.000 UTC
0.464084,2021-07-30 00:00:00.000 UTC
0.493356,2021-07-31 00:00:00.000 UTC
0.524051,2021-08-01 00:00:00.000 UTC
0.522536,2021-08-02 00:00:00.000 UTC
0.529131,2021-08-03 00:00:00.000 UTC
0.595203,2021-08-04 00:00:00.000 UTC
0.588237,2021-08-05 00:00:00.000 UTC
0.580312,2021-08-06 00:00:00.000 UTC
0.595886,2021-08-07 00:00:00.000 UTC
0.549436,2021-08-08 00:00:00.000 UTC
0.574776,2021-08-09 00:00:00.000 UTC
0.59308,2021-08-10 00:00:00.000 UTC
0.669779,2021-08-11 00:00:00.000 UTC
0.629021,2021-08-12 00:00:00.000 UTC
0.683278,2021-08-13 00:00:00.000 UTC
0.714749,2021-08-14 00:00:00.000 UTC
0.739888,2021-08-15 00:00:00.000 UTC
0.739781,2021-08-16 00:00:00.000 UTC
0.718273,2021-08-17 00:00:00.000 UTC
0.765253,2021-08-18 00:00:00.000 UTC
0.80598,2021-08-19 00:00:00.000 UTC
0.942615,2021-08-20 00:00:00.000 UTC
0.970234,2021-08-21 00:00:00.000 UTC
0.966442,2021-08-22 00:00:00.000 UTC
0.9616,2021-08-23 00:00:00.000 UTC
0.864066,2021-08-24 00:00:00.000 UTC
0.912192,2021-08-25 00:00:00.000 UTC
0.828133,2021-08-26 00:00:00.000 UTC
0.86383,2021-08-27 00:00:00.000 UTC
0.866396,2021-08-28 00:00:00.000 UTC
0.857034,2021-08-29 00:00:00.000 UTC
0.815522,2021-08-30 00:00:00.000 UTC
0.868787,2021-08-31 00:00:00.000 UTC
0.915746,2021-09-01 00:00:00.000 UTC
0.901285,2021-09-02 00:00:00.000 UTC
0.895798,2021-09-03 00:00:00.000 UTC
0.954107,2021-09-04 00:00:00.000 UTC
0.983361,2021-09-05 00:00:00.000 UTC
0.964737,2021-09-06 00:00:00.000 UTC
0.769001,2021-09-07 00:00:00.000 UTC
0.759015,2021-09-08 00:00:00.000 UTC
0.762923,2021-09-09 00:00:00.000 UTC
0.715259,2021-09-10 00:00:00.000 UTC
0.724226,2021-09-11 00:00:00.000 UTC
0.841678,2021-09-12 00:00:00.000 UTC
0.758065,2021-09-13 00:00:00.000 UTC
0.79509,2021-09-14 00:00:00.000 UTC
0.85311,2021-09-15 00:00:00.000 UTC
0.840354,2021-09-16 00:00:00.000 UTC
0.787122,2021-09-17 00:00:00.000 UTC
0.806984,2021-09-18 00:00:00.000 UTC
0.758503,2021-09-19 00:00:00.000 UTC
0.650054,2021-09-20 00:00:00.000 UTC
0.597812,2021-09-21 00:00:00.000 UTC
0.682326,2021-09-22 00:00:00.000 UTC
0.726029,2021-09-23 00:00:00.000 UTC
0.668347,2021-09-24 00:00:00.000 UTC
0.677078,2021-09-25 00:00:00.000 UTC
0.672338,2021-09-26 00:00:00.000 UTC
0.642668,2021-09-27 00:00:00.000 UTC
0.600704,2021-09-28 00:00:00.000 UTC
0.610796,2021-09-29 00:00:00.000 UTC
0.640815,2021-09-30 00:00:00.000 UTC
0.69575,2021-10-01 00:00:00.000 UTC
0.709442,2021-10-02 00:00:00.000 UTC
0.728291,2021-10-03 00:00:00.000 UTC
0.711897,2021-10-04 00:00:00.000 UTC
